#,Year,Value
1,1960,59184116489
2,1961,49557050183
3,1962,46685178504
4,1963,50097303271
5,1964,59062254890
6,1965,69709153115
7,1966,75879434776
8,1967,72057028560
9,1968,69993497892
10,1969,78718820478
11,1970,91506211306
12,1971,98562023844
13,1972,1.1216E+11
14,1973,1.3677E+11
15,1974,1.42255E+11
16,1975,1.61162E+11
17,1976,1.51628E+11
18,1977,1.72349E+11
19,1978,1.48382E+11
20,1979,1.76857E+11
21,1979,1.76857E+11
22,1980,1.8965E+11
23,1981,1.94369E+11
24,1982,2.0355E+11
25,1983,2.2895E+11
26,1984,2.58082E+11
27,1985,3.0748E+11
28,1986,2.98806E+11
29,1987,2.7135E+11
30,1988,3.10722E+11
31,1989,3.45957E+11
32,1990,3.58973E+11
33,1991,3.81455E+11
34,1992,4.24934E+11
35,1993,4.42875E+11
36,1994,5.62261E+11
37,1995,7.32032E+11
38,1996,8.60844E+11
39,1997,9.58159E+11
40,1998,1.02528E+12
41,1999,1.08945E+12
42,1999,1.08945E+12
43,2000,1.20526E+12
44,2001,1.33223E+12
45,2002,1.46191E+12
46,2003,1.64993E+12
47,2004,1.94175E+12
48,2005,2.2686E+12
49,2006,2.72978E+12
50,2007,3.52309E+12
51,2008,4.55843E+12
52,2009,5.05942E+12
53,2010,6.03966E+12
54,2011,7.49243E+12
55,2012,8.46162E+12
56,2013,9.4906E+12
57,2014,1.03548E+13
